filename, language, Lua, Shell Script, comment, blank, total
c:\Users\josh\code\cavegame\src\loottables.lua, Lua, 40, 0, 3, 10, 53
c:\Users\josh\code\cavegame\src\menus.lua, Lua, 651, 0, 33, 105, 789
c:\Users\josh\code\cavegame\src\noise.lua, Lua, 32, 0, 8, 16, 56
c:\Users\josh\code\cavegame\src\playergui.lua, Lua, 509, 0, 23, 129, 661
c:\Users\josh\code\cavegame\src\recipes.lua, Lua, 41, 0, 7, 16, 64
c:\Users\josh\code\cavegame\src\rendering.lua, Lua, 189, 0, 12, 65, 266
c:\Users\josh\code\cavegame\src\settings.lua, Lua, 57, 0, 9, 18, 84
c:\Users\josh\code\cavegame\src\statuseffects.lua, Lua, 71, 0, 3, 16, 90
c:\Users\josh\code\cavegame\src\structuregenerator.lua, Lua, 95, 0, 5, 32, 132
c:\Users\josh\code\cavegame\src\terrain.lua, Lua, 29, 0, 6, 13, 48
c:\Users\josh\code\cavegame\src\terraingenerator.lua, Lua, 255, 0, 19, 84, 358
c:\Users\josh\code\cavegame\src\tiles.lua, Lua, 132, 0, 54, 28, 214
c:\Users\josh\code\cavegame\src\world.lua, Lua, 810, 0, 125, 230, 1165
c:\Users\josh\code\cavegame\src\worldloading.lua, Lua, 71, 0, 9, 23, 103
Total, -, 14369, 41, 848, 2638, 17896
